,Date,Open,High,Low,Close,Volume
89,3-May-17,142.49,143.43,141.96,142.82,545257
90,2-May-17,140.44,142.67,139.87,142.55,806357
91,1-May-17,143.15,143.15,140.36,140.53,922511
92,28-Apr-17,142.97,142.97,140.12,142.14,1458997
93,27-Apr-17,145.75,148.28,140.96,143.19,2079744
94,26-Apr-17,146.29,146.91,145.40,145.78,1112945
95,25-Apr-17,147.00,147.0,144.20,145.67,1030394
96,24-Apr-17,147.88,148.35,145.92,147.1,905172
97,21-Apr-17,146.47,147.02,145.03,146.84,1021629
98,20-Apr-17,143.56,146.82,143.09,146.56,1278897
99,19-Apr-17,141.53,144.77,141.53,142.42,1230053
100,18-Apr-17,140.33,141.6,140.33,140.91,646351
101,17-Apr-17,141.26,141.48,140.15,140.84,646328
102,13-Apr-17,141.92,142.84,140.89,140.89,476659
103,12-Apr-17,142.91,142.91,141.07,141.74,596053
104,11-Apr-17,142.49,143.92,141.49,143.46,763668
105,10-Apr-17,141.88,143.76,141.87,142.84,739370
106,7-Apr-17,142.51,143.54,141.93,142.05,928087
107,6-Apr-17,143.66,144.65,142.36,142.56,765329
108,5-Apr-17,143.76,144.69,142.54,142.74,741494
109,4-Apr-17,144.93,145.22,142.67,143.04,1072160
110,3-Apr-17,148.40,149.2,143.56,145.5,2029797
111,31-Mar-17,148.26,149.4,147.38,148.26,981765
112,30-Mar-17,149.24,149.64,148.35,148.67,699640
113,29-Mar-17,148.61,150.07,147.61,149.67,739014
114,28-Mar-17,147.19,148.88,146.36,148.36,1119285
115,27-Mar-17,148.50,148.77,146.18,147.8,769881
116,24-Mar-17,150.78,151.0,149.35,149.73,615648
117,23-Mar-17,151.30,152.38,150.12,150.78,653079
118,22-Mar-17,151.60,152.06,150.46,151.27,661744
119,21-Mar-17,152.54,152.83,150.64,151.22,1061888
120,20-Mar-17,152.95,154.23,151.86,152.44,1051411
121,17-Mar-17,152.42,153.25,150.90,152.4,1135226
122,16-Mar-17,152.74,153.77,151.83,153.41,583526
123,15-Mar-17,153.58,153.6,151.15,152.92,1593712
124,14-Mar-17,154.30,154.64,152.90,153.71,896586
125,13-Mar-17,152.76,154.96,151.99,154.35,978870
126,10-Mar-17,155.52,155.81,153.39,153.97,1064539
127,9-Mar-17,155.48,155.48,154.21,155.15,1024584
128,8-Mar-17,153.51,155.74,152.82,155.21,1415557
129,7-Mar-17,154.26,154.8,151.62,151.99,1102655
130,6-Mar-17,155.35,156.1,154.19,154.25,1057931
131,3-Mar-17,157.30,158.14,154.30,155.35,1252168
132,2-Mar-17,156.68,158.09,156.45,157.36,1158091
133,1-Mar-17,158.59,158.59,155.64,156.68,1037787
134,28-Feb-17,155.64,158.69,155.18,156.61,1087279
135,27-Feb-17,156.85,157.39,155.36,156.94,1443682
136,24-Feb-17,156.46,158.23,155.45,157.33,1599603
137,23-Feb-17,159.32,159.66,156.66,157.72,1396171
138,22-Feb-17,160.74,161.99,155.27,159.68,3443098
139,21-Feb-17,164.50,169.55,160.68,161.15,3286425
140,17-Feb-17,160.61,161.88,159.75,161.58,1561644
141,16-Feb-17,164.21,164.46,160.32,160.99,1357842
142,15-Feb-17,163.29,165.3,163.00,163.88,694726
143,14-Feb-17,161.86,164.79,161.85,164.37,935270
144,13-Feb-17,165.00,165.0,162.15,162.39,986197
145,10-Feb-17,165.23,165.87,163.19,164.05,735041
146,9-Feb-17,162.26,165.17,161.31,164.83,1101988
147,8-Feb-17,158.29,163.65,158.26,162.73,1921974
148,7-Feb-17,161.21,162.06,157.78,159.18,1191286
149,6-Feb-17,161.73,163.03,159.93,160.27,944739
150,3-Feb-17,162.98,163.7,161.92,162.75,850541
151,2-Feb-17,160.09,163.05,160.00,162.34,1485466
152,1-Feb-17,164.02,164.89,159.70,160.59,1595047
153,31-Jan-17,163.90,164.68,162.27,164.24,1056018
154,30-Jan-17,165.35,165.35,162.89,164.63,727006
155,27-Jan-17,166.15,166.28,163.94,164.37,768677
156,26-Jan-17,167.75,169.42,165.34,165.5,1301606
157,25-Jan-17,169.40,170.31,167.00,167.5,969050
158,24-Jan-17,168.80,170.98,167.78,168.29,882432
159,23-Jan-17,167.08,168.63,164.27,167.78,1416776
160,20-Jan-17,172.24,172.91,170.41,171.5,731320
161,19-Jan-17,174.21,174.82,171.22,171.72,606596
162,18-Jan-17,173.01,174.18,171.76,173.98,791460
163,17-Jan-17,174.34,177.5,172.94,173.0,1048921
164,13-Jan-17,174.42,175.86,173.52,174.79,1196160
165,12-Jan-17,172.42,174.61,172.00,174.47,747356
166,11-Jan-17,173.51,174.99,170.92,173.43,889019
167,10-Jan-17,168.70,171.92,168.63,169.92,621328
168,9-Jan-17,170.06,170.28,168.32,169.53,560162
169,6-Jan-17,171.32,171.99,169.30,169.63,827978
170,5-Jan-17,170.87,173.06,170.23,171.88,860980
171,4-Jan-17,170.37,173.17,170.37,172.0,642367
172,3-Jan-17,170.78,171.36,169.31,170.6,691526
